Organization,Website
Generosity.org,https://www.generosity.org
Pure Water for the World,https://www.purewaterfortheworld.org
Blood:Water,https://www.bloodwater.org
Water for Good,https://www.waterforgood.org
Hope of Life International,https://www.hopeoflifeintl.org
Splash,https://www.splash.org
Lifewater International,https://www.lifewater.org
Planet Water Foundation,https://www.planet-water.org
Water4,https://www.water4.org
Safe Water Network,https://www.safewaternetwork.org
Thirst Project,https://www.thirstproject.org
The Last Well,https://www.thelastwell.org
Hope Rising Together,https://www.hoperisingtogether.org
WaterAid,https://www.wateraid.org
charity: water,https://www.charitywater.org